1,Eden,2024,7.0/10,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Gala... Read all

2,Os Fantasmas se Divertem,1988,7.5/10,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."

3,Deadpool & Wolverine,2024,8.0/10,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."

4,Rebel Ridge,2024,6.9/10,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.

5,Alien: Romulus,2024,7.4/10,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."

6,Não Fale o Mal,2024,7.2/10,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."

7,Longlegs: Vínculo Mortal,2024,6.8/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."

8,Os Fantasmas Ainda se Divertem: Beetlejuice Beetlejuice,2024,7.1/10,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid,... Read all"

9,Armadilha,2024,6.0/10,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.

10,Saturday Night,2024,7.0/10,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the f... Read all"

11,Feios,2024,4.8/10,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.

12,É Assim que Acaba,2024,6.7/10,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to mak... Read all"

13,A Libertação,2024,5.1/10,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell."

14,Pisque Duas Vezes,2024,6.7/10,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange thin... Read all"

15,Tipos de Gentileza,2024,6.6/10,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual pro... Read all"

16,A Substância,2024,8.0/10,"A fading celebrity decides to use a black-market drug, a cell-replicating substance that temporarily creates a younger, better version of herself."

17,O Corvo,2024,4.7/10,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."

18,Babygirl,2024,6.3/10,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.

19,Karatê Kid - A Hora da Verdade,1984,7.3/10,"Recently relocated from NJ to LA, Daniel becomes the target of a gang of Cobra Kai dojo students. When Mr. Miyagi saves him with expert Karate skills, Daniel convinces him to teach him to de... Read all"

20,Twisters,2024,6.6/10,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."

21,Horizon: An American Saga - Chapter 1,2024,6.7/10,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."

22,O Dublê,2024,6.9/10,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job. Wha... Read all"

